instance obj_greddy time_greedy obj_lnsa time_lnsa
Correia_Random_1_1_0_1.txt 5310 0 5140 20
Correia_Random_1_1_0_10.txt 5130 0 4980 19
Correia_Random_1_1_0_2.txt 5760 0 5610 20
Correia_Random_1_1_0_3.txt 5000 0 4900 16
Correia_Random_1_1_0_4.txt 4650 0 4610 15
Correia_Random_1_1_0_5.txt 4890 0 4730 19
Correia_Random_1_1_0_6.txt 5010 0 4910 17
Correia_Random_1_1_0_7.txt 5080 0 4920 18
Correia_Random_1_1_0_8.txt 5370 0 5290 18
Correia_Random_1_1_0_9.txt 4990 0 4840 15
Correia_Random_1_1_10_1.txt 6460 0 5890 10
Correia_Random_1_1_10_10.txt 6510 0 5920 12
Correia_Random_1_1_10_2.txt 6580 0 6270 8
Correia_Random_1_1_10_3.txt 6520 0 5740 8
Correia_Random_1_1_10_4.txt 6290 0 5690 11
Correia_Random_1_1_10_5.txt 6000 0 5690 12
Correia_Random_1_1_10_6.txt 6330 0 5690 11
Correia_Random_1_1_10_7.txt 6100 0 5670 10
Correia_Random_1_1_10_8.txt 6470 0 5900 9
Correia_Random_1_1_10_9.txt 6860 0 5880 15
Correia_Random_1_1_11_1.txt 8020 0 7800 19
Correia_Random_1_1_11_10.txt 8070 0 8030 20
Correia_Random_1_1_11_2.txt 8240 0 8220 17
Correia_Random_1_1_11_3.txt 7650 0 7530 15
Correia_Random_1_1_11_4.txt 8060 0 7720 23
Correia_Random_1_1_11_5.txt 8420 0 8400 25
Correia_Random_1_1_11_6.txt 7760 0 7640 18
Correia_Random_1_1_11_7.txt 8260 0 8020 23
Correia_Random_1_1_11_8.txt 8100 0 7830 18
Correia_Random_1_1_11_9.txt 7860 0 7500 18
Correia_Random_1_1_1_1.txt 5260 0 5140 12
Correia_Random_1_1_1_10.txt 5130 0 4980 10
Correia_Random_1_1_1_2.txt 5800 0 5620 11
Correia_Random_1_1_1_3.txt 5000 0 4900 9
Correia_Random_1_1_1_4.txt 4720 0 4610 9
Correia_Random_1_1_1_5.txt 4860 0 4730 11
Correia_Random_1_1_1_6.txt 5050 0 4910 10
Correia_Random_1_1_1_7.txt 5080 0 4920 11
Correia_Random_1_1_1_8.txt 5400 0 5290 10
Correia_Random_1_1_1_9.txt 5020 0 4840 9
Correia_Random_1_1_2_1.txt 5350 0 5150 11
Correia_Random_1_1_2_10.txt 5130 0 4980 9
Correia_Random_1_1_2_2.txt 5800 0 5620 11
Correia_Random_1_1_2_3.txt 4990 0 4910 10
Correia_Random_1_1_2_4.txt 4720 0 4610 9
Correia_Random_1_1_2_5.txt 4970 0 4730 11
Correia_Random_1_1_2_6.txt 5090 0 4910 10
Correia_Random_1_1_2_7.txt 5070 0 4920 10
Correia_Random_1_1_2_8.txt 5440 0 5300 10
Correia_Random_1_1_2_9.txt 5020 0 4840 9
Correia_Random_1_1_3_1.txt 5320 0 5150 10
Correia_Random_1_1_3_10.txt 5170 0 4990 9
Correia_Random_1_1_3_2.txt 5770 0 5630 10
Correia_Random_1_1_3_3.txt 5030 0 4910 9
Correia_Random_1_1_3_4.txt 4660 0 4610 9
Correia_Random_1_1_3_5.txt 4970 0 4730 10
