instance obj_greddy time_greedy obj_lnsa time_lnsa
instances/train/Correia_Random_2_3_1_7.txt 15350 0 15350 2
instances/train/Correia_Random_2_1_1_8.txt 10370 0 10180 1
instances/train/Correia_Random_2_2_9_3.txt 12900 0 12500 3
instances/train/Correia_Random_1_2_4_9.txt 6230 0 6080 1
instances/train/Correia_Random_1_2_0_9.txt 6240 0 6070 0
instances/train/Correia_Random_2_3_0_6.txt 15950 0 15950 1
instances/train/Correia_Random_1_1_5_9.txt 5100 0 4850 0
instances/train/Correia_Random_1_1_6_8.txt 5530 0 5320 0
instances/train/Correia_Random_1_3_4_6.txt 8000 0 7950 0
instances/train/Correia_Random_2_2_7_1.txt 12510 0 12220 4
instances/train/Correia_Random_2_1_3_7.txt 10260 0 10060 1
instances/train/Correia_Random_2_1_6_1.txt 9910 0 9600 4
instances/train/Correia_Random_1_2_5_7.txt 6220 0 6090 0
instances/train/Correia_Random_1_3_4_8.txt 7590 0 7590 0
instances/train/Correia_Random_2_1_2_6.txt 9960 0 9730 2
instances/train/Correia_Random_2_2_4_4.txt 12360 0 12210 3
instances/train/Correia_Random_2_3_0_10.txt 15050 0 15020 1
instances/train/Correia_Random_2_2_10_1.txt 13770 0 12620 5
instances/train/Correia_Random_1_1_3_3.txt 5120 0 4910 0
instances/train/Correia_Random_2_2_4_6.txt 12590 0 12450 2
instances/train/Correia_Random_1_2_1_4.txt 6340 0 6250 0
instances/train/Correia_Random_2_3_0_9.txt 15030 0 15000 1
instances/train/Correia_Random_1_3_2_6.txt 7950 0 7950 0
instances/train/Correia_Random_2_1_4_3.txt 9590 0 9380 2
instances/train/Correia_Random_2_2_4_8.txt 11740 0 11650 3
instances/train/Correia_Random_2_1_1_2.txt 10060 0 9940 2
instances/train/Correia_Random_1_3_5_3.txt 7900 0 7860 0
instances/train/Correia_Random_1_2_5_2.txt 6210 0 6060 0
instances/train/Correia_Random_2_3_10_7.txt 16200 0 15880 1
instances/train/Correia_Random_2_3_4_7.txt 15350 0 15350 2
instances/train/Correia_Random_1_3_0_3.txt 7850 0 7850 0
instances/train/Correia_Random_1_2_5_1.txt 6130 0 5930 0
instances/train/Correia_Random_2_3_3_7.txt 15350 0 15350 2
instances/train/Correia_Random_1_1_9_2.txt 6480 0 5960 0
instances/train/Correia_Random_2_1_5_4.txt 10870 0 10590 5
instances/train/Correia_Random_2_1_10_8.txt 12000 0 10950 5
instances/train/Correia_Random_2_2_8_6.txt 12750 0 12580 2
instances/train/Correia_Random_2_3_10_6.txt 16700 0 16430 2
instances/train/Correia_Random_1_3_1_1.txt 7600 0 7530 0
instances/train/Correia_Random_1_3_8_5.txt 7590 0 7450 0
instances/train/Correia_Random_1_1_6_2.txt 5930 0 5660 0
instances/train/Correia_Random_2_2_3_6.txt 12570 0 12420 2
instances/train/Correia_Random_2_2_7_8.txt 11990 0 11690 3
instances/train/Correia_Random_2_2_1_3.txt 12340 0 12200 2
instances/train/Correia_Random_2_3_10_5.txt 16400 0 16090 4
instances/train/Correia_Random_1_3_3_9.txt 7550 0 7550 0
instances/train/Correia_Random_2_3_1_1.txt 15200 0 15170 1
instances/train/Correia_Random_1_1_0_4.txt 4720 0 4610 0
instances/train/Correia_Random_2_2_4_9.txt 12380 0 12190 3
instances/train/Correia_Random_1_2_4_8.txt 5710 0 5630 0
instances/train/Correia_Random_1_2_0_10.txt 5370 0 5300 0
instances/train/Correia_Random_1_3_1_5.txt 7350 0 7350 0
instances/train/Correia_Random_2_1_8_5.txt 10290 0 9920 3
instances/train/Correia_Random_2_2_5_8.txt 11790 0 11650 2
instances/train/Correia_Random_1_2_8_4.txt 6520 0 6350 1
instances/train/Correia_Random_2_1_4_1.txt 9790 0 9580 2
instances/train/Correia_Random_2_3_10_10.txt 15860 0 15560 1
instances/train/Correia_Random_1_1_2_10.txt 5080 0 4980 0
instances/train/Correia_Random_1_3_4_4.txt 7800 0 7800 0
instances/train/Correia_Random_1_3_10_7.txt 8370 0 8200 0
instances/train/Correia_Random_2_3_6_10.txt 15050 0 15000 2
