instance obj_greddy time_greedy obj_lnsa time_lnsa
instances/train/Correia_Random_2_3_1_7.txt 15350 0 15350 3
instances/train/Correia_Random_2_1_1_8.txt 10390 0 10180 7
instances/train/Correia_Random_2_2_9_3.txt 12900 0 12540 13
instances/train/Correia_Random_1_2_4_9.txt 6230 0 6080 2
instances/train/Correia_Random_1_2_0_9.txt 6240 0 6070 1
instances/train/Correia_Random_2_3_0_6.txt 15950 0 15950 4
instances/train/Correia_Random_1_1_5_9.txt 5030 0 4850 1
instances/train/Correia_Random_1_1_6_8.txt 5520 0 5320 2
instances/train/Correia_Random_1_3_4_6.txt 8000 0 7950 1
instances/train/Correia_Random_2_2_7_1.txt 12510 0 12240 14
instances/train/Correia_Random_2_1_3_7.txt 10230 0 10060 8
instances/train/Correia_Random_2_1_6_1.txt 9840 0 9610 11
instances/train/Correia_Random_1_2_5_7.txt 6220 0 6090 2
instances/train/Correia_Random_1_3_4_8.txt 7590 0 7590 1
instances/train/Correia_Random_2_1_2_6.txt 9990 0 9730 8
instances/train/Correia_Random_2_2_4_4.txt 12360 0 12220 7
instances/train/Correia_Random_2_3_0_10.txt 15050 0 15020 3
instances/train/Correia_Random_2_2_10_1.txt 13770 0 12750 4
instances/train/Correia_Random_1_1_3_3.txt 5030 0 4910 1
instances/train/Correia_Random_2_2_4_6.txt 12590 0 12440 12
instances/train/Correia_Random_1_2_1_4.txt 6340 0 6250 1
instances/train/Correia_Random_2_3_0_9.txt 15030 0 15000 3
instances/train/Correia_Random_1_3_2_6.txt 7950 0 7950 1
instances/train/Correia_Random_2_1_4_3.txt 9600 0 9380 8
instances/train/Correia_Random_2_2_4_8.txt 11740 0 11650 8
instances/train/Correia_Random_2_1_1_2.txt 10160 0 9940 7
instances/train/Correia_Random_1_3_5_3.txt 7900 0 7860 0
instances/train/Correia_Random_1_2_5_2.txt 6210 0 6050 1
instances/train/Correia_Random_2_3_10_7.txt 16200 0 15860 3
instances/train/Correia_Random_2_3_4_7.txt 15350 0 15350 3
instances/train/Correia_Random_1_3_0_3.txt 7850 0 7850 0
instances/train/Correia_Random_1_2_5_1.txt 6130 0 5940 1
instances/train/Correia_Random_2_3_3_7.txt 15350 0 15350 3
instances/train/Correia_Random_1_1_9_2.txt 6540 0 5950 2
instances/train/Correia_Random_2_1_5_4.txt 10920 0 10600 8
instances/train/Correia_Random_2_1_10_8.txt 11920 0 11010 11
instances/train/Correia_Random_2_2_8_6.txt 12750 0 12620 7
instances/train/Correia_Random_2_3_10_6.txt 16700 0 16410 3
instances/train/Correia_Random_1_3_1_1.txt 7600 0 7530 0
instances/train/Correia_Random_1_3_8_5.txt 7590 0 7450 0
instances/train/Correia_Random_1_1_6_2.txt 5930 0 5650 1
instances/train/Correia_Random_2_2_3_6.txt 12570 0 12430 8
instances/train/Correia_Random_2_2_7_8.txt 11990 0 11710 9
instances/train/Correia_Random_2_2_1_3.txt 12340 0 12210 6
instances/train/Correia_Random_2_3_10_5.txt 16400 0 16040 3
instances/train/Correia_Random_1_3_3_9.txt 7550 0 7550 0
instances/train/Correia_Random_2_3_1_1.txt 15200 0 15170 3
instances/train/Correia_Random_1_1_0_4.txt 4650 0 4610 1
instances/train/Correia_Random_2_2_4_9.txt 12380 0 12200 8
instances/train/Correia_Random_1_2_4_8.txt 5710 0 5620 1
instances/train/Correia_Random_1_2_0_10.txt 5370 0 5300 1
instances/train/Correia_Random_1_3_1_5.txt 7350 0 7350 1
instances/train/Correia_Random_2_1_8_5.txt 10240 0 9950 8
instances/train/Correia_Random_2_2_5_8.txt 11790 0 11660 9
instances/train/Correia_Random_1_2_8_4.txt 6520 0 6370 1
instances/train/Correia_Random_2_1_4_1.txt 9850 0 9580 6
instances/train/Correia_Random_2_3_10_10.txt 15860 0 15560 3
instances/train/Correia_Random_1_1_2_10.txt 5130 0 4990 1
instances/train/Correia_Random_1_3_4_4.txt 7800 0 7800 1
instances/train/Correia_Random_1_3_10_7.txt 8370 0 8180 0
instances/train/Correia_Random_2_3_6_10.txt 15050 0 15000 4
instances/train/Correia_Random_1_2_8_6.txt 6410 0 6200 1
instances/train/Correia_Random_1_2_2_2.txt 6190 0 6030 1
