instance time_smart smart
instances/train/Correia_Random_2_3_1_7.txt 2 15350
instances/train/Correia_Random_2_1_1_8.txt 1 10370
instances/train/Correia_Random_2_2_9_3.txt 2 12900
instances/train/Correia_Random_1_2_4_9.txt 0 6220
instances/train/Correia_Random_1_2_0_9.txt 0 6240
instances/train/Correia_Random_2_3_0_6.txt 1 15950
instances/train/Correia_Random_1_1_5_9.txt 0 5100
instances/train/Correia_Random_1_1_6_8.txt 0 5530
instances/train/Correia_Random_1_3_4_6.txt 0 8000
instances/train/Correia_Random_2_2_7_1.txt 5 12510
instances/train/Correia_Random_2_1_3_7.txt 3 10260
instances/train/Correia_Random_2_1_6_1.txt 4 9910
instances/train/Correia_Random_1_2_5_7.txt 0 6290
instances/train/Correia_Random_1_3_4_8.txt 0 7590
instances/train/Correia_Random_2_1_2_6.txt 1 9910
instances/train/Correia_Random_2_2_4_4.txt 4 12360
instances/train/Correia_Random_2_3_0_10.txt 1 15050
instances/train/Correia_Random_2_2_10_1.txt 4 13770
instances/train/Correia_Random_1_1_3_3.txt 0 5120
instances/train/Correia_Random_2_2_4_6.txt 2 12590
instances/train/Correia_Random_1_2_1_4.txt 0 6300
instances/train/Correia_Random_2_3_0_9.txt 1 15030
instances/train/Correia_Random_1_3_2_6.txt 0 7950
instances/train/Correia_Random_2_1_4_3.txt 3 9590
instances/train/Correia_Random_2_2_4_8.txt 3 11740
instances/train/Correia_Random_2_1_1_2.txt 1 10060
instances/train/Correia_Random_1_3_5_3.txt 0 7900
instances/train/Correia_Random_1_2_5_2.txt 0 6230
instances/train/Correia_Random_2_3_10_7.txt 2 16200
instances/train/Correia_Random_2_3_4_7.txt 2 15350
instances/train/Correia_Random_1_3_0_3.txt 0 7850
instances/train/Correia_Random_1_2_5_1.txt 0 6070
instances/train/Correia_Random_2_3_3_7.txt 2 15350
instances/train/Correia_Random_1_1_9_2.txt 1 6480
instances/train/Correia_Random_2_1_5_4.txt 3 10870
instances/train/Correia_Random_2_1_10_8.txt 3 12000
instances/train/Correia_Random_2_2_8_6.txt 3 12750
instances/train/Correia_Random_2_3_10_6.txt 3 16700
instances/train/Correia_Random_1_3_1_1.txt 0 7600
instances/train/Correia_Random_1_3_8_5.txt 0 7590
instances/train/Correia_Random_1_1_6_2.txt 1 5930
instances/train/Correia_Random_2_2_3_6.txt 4 12570
instances/train/Correia_Random_2_2_7_8.txt 4 11990
instances/train/Correia_Random_2_2_1_3.txt 3 12340
instances/train/Correia_Random_2_3_10_5.txt 2 16400
instances/train/Correia_Random_1_3_3_9.txt 0 7550
instances/train/Correia_Random_2_3_1_1.txt 1 15200
instances/train/Correia_Random_1_1_0_4.txt 0 4720
instances/train/Correia_Random_2_2_4_9.txt 4 12380
instances/train/Correia_Random_1_2_4_8.txt 0 5800
instances/train/Correia_Random_1_2_0_10.txt 1 5370
instances/train/Correia_Random_1_3_1_5.txt 0 7350
instances/train/Correia_Random_2_1_8_5.txt 7 10290
instances/train/Correia_Random_2_2_5_8.txt 9 11790
instances/train/Correia_Random_1_2_8_4.txt 2 6520
instances/train/Correia_Random_2_1_4_1.txt 4 9790
instances/train/Correia_Random_2_3_10_10.txt 2 15860
instances/train/Correia_Random_1_1_2_10.txt 0 5080
instances/train/Correia_Random_1_3_4_4.txt 0 7800
instances/train/Correia_Random_1_3_10_7.txt 0 8370
