instance obj_greddy time_greedy obj_lnsa time_lnsa
instances/set1_100/Correia_Random_1_2_4_9.txt 6230 0 6090 1
instances/set1_100/Correia_Random_1_2_0_3.txt 6390 0 6300 1
instances/set1_100/Correia_Random_1_2_0_9.txt 6240 0 6070 1
instances/set1_100/Correia_Random_1_1_5_9.txt 5030 0 4860 1
instances/set1_100/Correia_Random_1_1_6_8.txt 5520 0 5330 1
instances/set1_100/Correia_Random_1_3_4_6.txt 8000 0 7950 0
instances/set1_100/Correia_Random_1_1_9_7.txt 5750 0 5310 1
instances/set1_100/Correia_Random_1_1_6_7.txt 5100 0 4950 2
instances/set1_100/Correia_Random_1_3_7_4.txt 7900 0 7900 0
instances/set1_100/Correia_Random_1_1_2_4.txt 4720 0 4610 1
instances/set1_100/Correia_Random_1_2_5_7.txt 6220 0 6090 2
instances/set1_100/Correia_Random_1_3_4_8.txt 7590 0 7590 0
instances/set1_100/Correia_Random_1_2_10_4.txt 7240 0 6740 1
instances/set1_100/Correia_Random_1_1_3_3.txt 5030 0 4910 1
instances/set1_100/Correia_Random_1_2_1_4.txt 6340 0 6250 1
instances/set1_100/Correia_Random_1_3_2_6.txt 7950 0 7950 1
instances/set1_100/Correia_Random_1_2_10_2.txt 7120 0 6620 1
instances/set1_100/Correia_Random_1_3_8_8.txt 7790 0 7660 0
instances/set1_100/Correia_Random_1_3_5_3.txt 7900 0 7860 0
instances/set1_100/Correia_Random_1_3_10_3.txt 8500 0 8310 0
instances/set1_100/Correia_Random_1_2_5_2.txt 6210 0 6060 1
instances/set1_100/Correia_Random_1_2_6_10.txt 5530 0 5330 1
instances/set1_100/Correia_Random_1_3_0_3.txt 7850 0 7850 0
instances/set1_100/Correia_Random_1_2_5_1.txt 6130 0 5940 1
instances/set1_100/Correia_Random_1_1_9_2.txt 6540 0 5950 1
instances/set1_100/Correia_Random_1_3_1_1.txt 7600 0 7530 0
instances/set1_100/Correia_Random_1_3_8_5.txt 7590 0 7450 0
instances/set1_100/Correia_Random_1_1_6_2.txt 5930 0 5670 1
instances/set1_100/Correia_Random_1_3_6_2.txt 7750 0 7750 0
instances/set1_100/Correia_Random_1_3_3_9.txt 7550 0 7550 0
instances/set1_100/Correia_Random_1_3_7_6.txt 8050 0 8050 0
instances/set1_100/Correia_Random_1_1_0_4.txt 4650 0 4610 1
instances/set1_100/Correia_Random_1_2_4_8.txt 5710 0 5620 2
instances/set1_100/Correia_Random_1_2_0_10.txt 5370 0 5300 1
instances/set1_100/Correia_Random_1_3_1_5.txt 7350 0 7350 1
instances/set1_100/Correia_Random_1_2_8_4.txt 6520 0 6370 0
instances/set1_100/Correia_Random_1_1_2_10.txt 5130 0 4990 1
instances/set1_100/Correia_Random_1_3_4_4.txt 7800 0 7800 1
instances/set1_100/Correia_Random_1_3_10_7.txt 8370 0 8150 1
instances/set1_100/Correia_Random_1_2_3_5.txt 6120 0 5990 2
instances/set1_100/Correia_Random_1_2_8_6.txt 6410 0 6200 1
instances/set1_100/Correia_Random_1_2_2_2.txt 6190 0 6030 1
instances/set1_100/Correia_Random_1_2_2_3.txt 6390 0 6310 1
instances/set1_100/Correia_Random_1_3_6_9.txt 7600 0 7600 0
instances/set1_100/Correia_Random_1_3_11_2.txt 9240 0 9210 1
instances/set1_100/Correia_Random_1_1_1_10.txt 5130 0 4980 1
instances/set1_100/Correia_Random_1_2_5_6.txt 6280 0 6090 1
instances/set1_100/Correia_Random_1_3_8_1.txt 7850 0 7640 1
instances/set1_100/Correia_Random_1_1_1_2.txt 5800 0 5620 1
instances/set1_100/Correia_Random_1_1_8_8.txt 5670 0 5380 1
instances/set1_100/Correia_Random_1_2_9_3.txt 6840 0 6500 1
instances/set1_100/Correia_Random_1_2_11_1.txt 8510 0 8290 1
instances/set1_100/Correia_Random_1_1_6_3.txt 5110 0 4940 1
instances/set1_100/Correia_Random_1_3_6_7.txt 7700 0 7650 0
instances/set1_100/Correia_Random_1_1_3_4.txt 4660 0 4610 1
instances/set1_100/Correia_Random_1_3_8_4.txt 8000 0 7900 0
instances/set1_100/Correia_Random_1_2_4_4.txt 6360 0 6260 1
instances/set1_100/Correia_Random_1_2_11_8.txt 8000 0 7680 1
instances/set1_100/Correia_Random_1_2_0_4.txt 6340 0 6250 1
instances/set1_100/Correia_Random_1_3_2_7.txt 7650 0 7650 0
instances/set1_100/Correia_Random_1_1_5_7.txt 5080 0 4930 2
instances/set1_100/Correia_Random_1_1_0_3.txt 5000 0 4900 1
instances/set1_100/Correia_Random_1_1_8_1.txt 5660 0 5290 1
instances/set1_100/Correia_Random_1_1_9_9.txt 5610 0 5200 2
instances/set1_100/Correia_Random_1_1_8_3.txt 5190 0 5040 1
instances/set1_100/Correia_Random_1_2_1_10.txt 5370 0 5300 1
instances/set1_100/Correia_Random_1_2_5_9.txt 6240 0 6090 2
instances/set1_100/Correia_Random_1_2_8_9.txt 6420 0 6200 1
instances/set1_100/Correia_Random_1_3_2_1.txt 7600 0 7560 0
instances/set1_100/Correia_Random_1_3_6_5.txt 7480 0 7350 1
instances/set1_100/Correia_Random_1_1_2_2.txt 5800 0 5620 1
instances/set1_100/Correia_Random_1_3_5_9.txt 7550 0 7550 0
instances/set1_100/Correia_Random_1_2_3_7.txt 6160 0 6080 1
instances/set1_100/Correia_Random_1_3_6_4.txt 7900 0 7900 1
instances/set1_100/Correia_Random_1_1_10_9.txt 6860 0 5890 1
instances/set1_100/Correia_Random_1_3_10_9.txt 8290 0 8040 1
instances/set1_100/Correia_Random_1_1_9_1.txt 5920 0 5480 1
instances/set1_100/Correia_Random_1_2_11_9.txt 8520 0 8470 1
instances/set1_100/Correia_Random_1_2_2_6.txt 6220 0 6080 1
instances/set1_100/Correia_Random_1_1_11_7.txt 8260 0 8020 1
instances/set1_100/Correia_Random_1_3_6_3.txt 7950 0 7870 0
instances/set1_100/Correia_Random_1_3_0_2.txt 7750 0 7750 0
instances/set1_100/Correia_Random_1_1_10_6.txt 6330 0 5700 2
instances/set1_100/Correia_Random_1_2_7_9.txt 6420 0 6140 1
instances/set1_100/Correia_Random_1_3_5_8.txt 7670 0 7590 0
instances/set1_100/Correia_Random_1_3_0_4.txt 7800 0 7800 1
instances/set1_100/Correia_Random_1_3_2_3.txt 7850 0 7830 0
instances/set1_100/Correia_Random_1_3_5_5.txt 7380 0 7350 1
instances/set1_100/Correia_Random_1_3_3_2.txt 7750 0 7750 0
instances/set1_100/Correia_Random_1_3_7_3.txt 7950 0 7850 0
instances/set1_100/Correia_Random_1_2_5_10.txt 5400 0 5320 1
instances/set1_100/Correia_Random_1_2_7_8.txt 5820 0 5680 2
instances/set1_100/Correia_Random_1_2_3_9.txt 6250 0 6080 2
instances/set1_100/Correia_Random_1_2_6_8.txt 5760 0 5650 2
instances/set1_100/Correia_Random_1_1_2_7.txt 5070 0 4920 1
instances/set1_100/Correia_Random_1_1_8_5.txt 5200 0 4870 1
instances/set1_100/Correia_Random_1_1_0_6.txt 5010 0 4910 1
instances/set1_100/Correia_Random_1_2_7_3.txt 6600 0 6380 1
instances/set1_100/Correia_Random_1_1_3_2.txt 5770 0 5630 1
instances/set1_100/Correia_Random_1_3_8_7.txt 7900 0 7710 0
instances/set1_100/Correia_Random_1_3_3_3.txt 7850 0 7830 0
instances/set1_100/Correia_Random_1_2_11_10.txt 7950 0 7870 1
instances/set1_100/Correia_Random_1_3_5_4.txt 7850 0 7800 0
instances/set1_100/Correia_Random_1_2_10_6.txt 6960 0 6560 1
instances/set1_100/Correia_Random_1_1_0_9.txt 4990 0 4840 1
instances/set1_100/Correia_Random_1_2_3_4.txt 6370 0 6250 2
instances/set1_100/Correia_Random_1_2_1_2.txt 6190 0 6030 1
instances/set1_100/Correia_Random_1_2_9_5.txt 6380 0 6200 1
instances/set1_100/Correia_Random_1_1_11_6.txt 7760 0 7640 1
instances/set1_100/Correia_Random_1_1_10_4.txt 6290 0 5690 1
instances/set1_100/Correia_Random_1_2_7_1.txt 6140 0 5990 1
instances/set1_100/Correia_Random_1_3_9_5.txt 7920 0 7690 0
